n,t,j,p
19,1,6,0.015112587609871622
19,1,7,0.05631898115983902
19,1,8,0.006669388570137945
19,2,1,0.02171114751704394
19,2,2,0.4100433778408419
19,2,3,0.0027868600919498114
19,2,4,0.45528865520388173
19,2,5,0.03195603534075083
19,2,6,0.015134446735422498
19,2,7,0.056400441973291394
19,2,8,0.006679035296818093
20,1,2,0.5924153617114699
20,1,3,0.015451055620263865
20,1,5,0.31491531582304305
20,1,10,0.042944326008714846
20,1,12,0.0025873875225846063
20,1,13,0.03168655331392358
20,2,1,0.003868864390300771
20,2,2,0.6571453301346907
20,2,3,0.00716209148050913
20,2,4,0.08948661895461585
20,2,5,0.14597399400854277
20,2,6,0.009136781861537616
20,2,7,0.07645036708744478
20,2,8,0.010775952082358502
21,1,3,0.00436172490514648
21,1,5,0.014928981786807762
21,1,12,0.011038082566726894
21,1,13,0.10175826887944221
21,1,14,0.054112051481877886
21,1,15,0.06204559318964997
21,1,16,0.7517552971903488
22,1,2,0.9816767628317803
22,1,3,0.0011906360949532247
22,1,5,0.013413322034987366
22,1,12,0.00016451908981424332
22,1,14,0.0003693635510775305
22,1,16,0.0031853963973873856
22,2,2,0.9840576070061496
22,2,3,0.0011935237246881753
22,2,5,0.013445853139761424
22,2,10,0.0007721158456176395
22,2,12,0.00016491809520113553
22,2,13,0.00036598218858195067
22,3,3,0.05748215950023606
22,3,5,0.9095293304656336
22,3,12,0.007942739684796411
22,3,14,0.02504577034933402
22,4,2,0.9572165636970704
22,4,3,0.0022901998966205154
22,4,5,0.03623739951170704
22,4,10,0.003583383154493229
22,4,12,0.000316454040056197
22,4,13,0.00035599970005268126
23,1,1,0.01476849962374178
23,1,2,0.6111682880334742
23,1,3,0.04819266492399871
23,1,4,0.09738051603331163
23,1,5,0.09261772185349756
23,1,6,0.03178356742076292
23,1,7,0.07910073439891532
23,1,8,0.024988007712297897
24,1,2,0.09080442360748912
24,1,3,0.03054070354808334
24,1,5,0.7675222034774427
24,1,7,0.06377453637635988
24,1,8,0.01757102956728576
24,1,9,0.007311223327338824
24,1,10,0.011440720785851247
24,1,11,0.011035159310149173
24,2,2,0.14287990233247513
24,2,3,0.02749744004327337
24,2,5,0.6910415714154873
24,2,7,0.10034863024009832
24,2,8,0.0158201441320544
24,2,9,0.006582688076257421
24,2,10,0.005894075582131427
24,2,11,0.009935548178222628
24,3,2,0.13749660415761172
24,3,3,0.026461416667124097
24,3,5,0.6650051396330855
24,3,7,0.09656778640410153
24,3,8,0.01522408722242697
24,3,9,0.006334671580388378
24,3,10,0.052910294335261794
25,1,1,0.012023452667529487
25,1,2,0.015159036840073012
25,1,3,0.042618057426353356
25,1,4,0.002618688114704358
25,1,5,0.0027582237627176054
25,1,6,0.0009091267046216265
25,1,7,0.0046569111766237275
25,1,8,0.00037571003762858945
25,1,11,0.7285783745656995
25,1,17,0.19030241870404868
25,2,2,0.1800451151197839
25,2,3,0.03515162515953562
25,2,5,0.015289025618287645
25,2,7,0.0038410478085447635
25,2,8,0.003048476289934826
25,2,9,0.030950028442354782
25,2,10,0.02350892828517978
25,2,11,0.6009357410607961
25,2,17,0.10723001221558258
25,3,1,0.015539867067718252
25,3,2,0.08995152970549138
25,3,3,0.03762981132029667
25,3,4,0.015538916108215733
25,3,5,0.01636690043991541
25,3,6,0.005394626231176429
25,3,7,0.0060188851432284906
25,3,8,0.002229408963573478
